mode,run,q_idx,question,reference,answer,gold_ok,pred_ok,score,threshold,judge_ok,ent,con,selfcheck
full,0,158,when did they stop cigarette advertising on television,"January 2, 1971",1971,False,True,0.7901407907158137,0.77,True,0.9206445813179016,0.007633087690919638,0.015161831863224506
full,0,158,when did they stop cigarette advertising on television,"January 2, 1971",1971,False,True,0.7901407907158137,0.77,True,0.9206445813179016,0.007633087690919638,0.015161831863224506
full,0,158,when did they stop cigarette advertising on television,"January 2, 1971",1971,False,True,0.7901407907158137,0.77,True,0.9206445813179016,0.007633087690919638,0.015161831863224506
full,0,158,when did they stop cigarette advertising on television,"January 2, 1971",1971,False,True,0.7901407907158137,0.77,True,0.9206445813179016,0.007633087690919638,0.015161831863224506
full,0,158,when did they stop cigarette advertising on television,"January 2, 1971",1971,False,True,0.7901407907158137,0.77,True,0.9206445813179016,0.007633087690919638,0.015161831863224506
full,0,235,when was the first star wars film released,"May 25, 1977",1977,False,True,0.7952526242844761,0.77,True,0.9309532046318054,0.007198367267847061,0.01477950531989336
full,0,235,when was the first star wars film released,"May 25, 1977",1977,False,True,0.7952526242844761,0.77,True,0.9309532046318054,0.007198367267847061,0.01477950531989336
full,0,235,when was the first star wars film released,"May 25, 1977",1977,False,True,0.7952526242844761,0.77,True,0.9309532046318054,0.007198367267847061,0.01477950531989336
full,0,235,when was the first star wars film released,"May 25, 1977",1977,False,True,0.7952526242844761,0.77,True,0.9309532046318054,0.007198367267847061,0.01477950531989336
full,0,235,when was the first star wars film released,"May 25, 1977",1977,False,True,0.7952526242844761,0.77,True,0.9309532046318054,0.007198367267847061,0.01477950531989336
full,0,265,the area enclosed by hysteresis loop is a measure of,energy loss,Energy,True,False,0.5524206429099043,0.77,False,0.818706214427948,0.07734997570514679,0.02090928889811039
full,0,265,the area enclosed by hysteresis loop is a measure of,energy loss,Energy,True,False,0.5524206429099043,0.77,False,0.818706214427948,0.07734997570514679,0.02090928889811039
full,0,265,the area enclosed by hysteresis loop is a measure of,energy loss,Energy,True,False,0.5524206429099043,0.77,False,0.818706214427948,0.07734997570514679,0.02090928889811039
full,0,265,the area enclosed by hysteresis loop is a measure of,energy loss,Energy,True,False,0.5524206429099043,0.77,False,0.818706214427948,0.07734997570514679,0.02090928889811039
full,0,265,the area enclosed by hysteresis loop is a measure of,energy loss,Energy,True,False,0.5524206429099043,0.77,False,0.818706214427948,0.07734997570514679,0.02090928889811039
full,0,378,when was the first episode of scooby doo,"September 13, 1969",1969,False,True,0.7967219112813473,0.77,True,0.9408456683158875,0.009646076709032059,0.020125627517700195
full,0,378,when was the first episode of scooby doo,"September 13, 1969",1969,False,True,0.7967219112813473,0.77,True,0.9408456683158875,0.009646076709032059,0.020125627517700195
full,0,378,when was the first episode of scooby doo,"September 13, 1969",1969,False,True,0.7967219112813473,0.77,True,0.9408456683158875,0.009646076709032059,0.020125627517700195
full,0,378,when was the first episode of scooby doo,"September 13, 1969",1969,False,True,0.7967219112813473,0.77,True,0.9408456683158875,0.009646076709032059,0.020125627517700195
full,0,378,when was the first episode of scooby doo,"September 13, 1969",1969,False,True,0.7967219112813473,0.77,True,0.9408456683158875,0.009646076709032059,0.020125627517700195
full,0,799,india's first arctic research station set up in 2008 what is the name,Himadri Station,Himadri,True,False,0.6753397385651866,0.77,True,0.8458517789840698,0.06934938579797745,0.5972128510475159
full,0,489,when does closure of the ductus arteriosus occur,birth,After birth,True,False,0.47869477139165006,0.77,True,0.4977587163448334,0.16458868980407715,0.005167657509446144
full,0,489,when does closure of the ductus arteriosus occur,birth,After birth,True,False,0.47869477139165006,0.77,True,0.4977587163448334,0.16458868980407715,0.005167657509446144
full,0,489,when does closure of the ductus arteriosus occur,birth,After birth,True,False,0.47869477139165006,0.77,True,0.4977587163448334,0.16458868980407715,0.005167657509446144
full,0,489,when does closure of the ductus arteriosus occur,birth,After birth,True,False,0.47869477139165006,0.77,True,0.4977587163448334,0.16458868980407715,0.005167657509446144
full,0,489,when does closure of the ductus arteriosus occur,birth,After birth,True,False,0.47869477139165006,0.77,True,0.4977587163448334,0.16458868980407715,0.005167657509446144
full,0,425,is coca cola a public or private company,Public,public company,True,False,0.6410580285227236,0.77,True,0.4922698140144348,0.006642753724008799,0.0021051932126283646
full,0,425,is coca cola a public or private company,Public,public company,True,False,0.6410580285227236,0.77,True,0.4922698140144348,0.006642753724008799,0.0021051932126283646
full,0,425,is coca cola a public or private company,Public,public company,True,False,0.6410580285227236,0.77,True,0.4922698140144348,0.006642753724008799,0.0021051932126283646
full,0,425,is coca cola a public or private company,Public,public company,True,False,0.6410580285227236,0.77,True,0.4922698140144348,0.006642753724008799,0.0021051932126283646
full,0,425,is coca cola a public or private company,Public,public company,True,False,0.6410580285227236,0.77,True,0.4922698140144348,0.006642753724008799,0.0021051932126283646
full,0,100,when did refrigerator perry play for the bears,1985–1993,1985,True,False,0.38075539292767646,0.77,False,0.7612598538398743,0.0694856122136116,0.010116306133568287
