case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,action,outcome
0,0,detector_conditioned_extract,786,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,0.8749426706135274,0.8763980964571237,0.0014554258435963,True,True,0.9094469547271729,0.0380915850400924,0.9094469547271729,0.0380915850400924,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,194,who wrote the song fly me to the moon,Bart Howard,Bart Howard,Bart Howard,Bart Howard,0.8945904904417694,0.8951861227769405,0.0005956323351711,True,True,0.9237701296806335,0.0271203871816396,0.9237701296806335,0.0271203871816396,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,Richard Gere,Richard Gere,0.9172694205911832,0.9175357190798968,0.0002662984887137,True,True,0.9447823166847228,0.0156589541584253,0.9447823166847228,0.0156589541584253,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,735,who has the most catches in nfl history,Jerry Rice,Jerry Rice,Jerry Rice,Jerry Rice,0.9119363821018488,0.9124908045306802,0.0005544224288314,True,True,0.9431017637252808,0.019471101462841,0.9431017637252808,0.019471101462841,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,621,who was the buccaneers qb when they won the superbowl,Brad Johnson,Brad Johnson,Brad Johnson,Brad Johnson,0.9104600126761944,0.9109729378391056,0.0005129251629113,True,True,0.9446694254875184,0.0214473810046911,0.9446694254875184,0.0214473810046911,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,265,the area enclosed by hysteresis loop is a measure of,energy loss,energy loss,Energy,Energy,0.5524206429099043,0.5545115717997153,0.0020909288898109,True,True,0.818706214427948,0.0773499757051467,0.818706214427948,0.0773499757051467,entailed,entailed,already_correct,strict_mix_K10_group=ANSWER_sc_rerank_keep_base,Correct (unchanged)
1,0,detector_conditioned_extract,489,when does closure of the ductus arteriosus occur,birth,birth,After birth,occurs at birth,0.47869477139165,0.6354035534337162,0.1567087820420661,True,True,0.4977587163448334,0.1645886898040771,0.7895687818527222,0.0076461313292384,neutral,entailed,already_correct,strict_mix_K10_group=ANSWER_sc_rerank,Correct (unchanged)
1,0,detector_conditioned_extract,425,is coca cola a public or private company,Public,Public,public company,Public,0.6410580285227236,0.9104711800836958,0.2694131515609721,True,True,0.4922698140144348,0.0066427537240087,0.9387724995613098,0.0062776054255664,neutral,entailed,already_correct,strict_mix_K10_group=ANSWER_sc_rerank,Correct (unchanged)
0,0,detector_conditioned_extract,6,state the position of india in terms of population size,second,second,Second,Second,0.9292854378838092,0.9329052033741028,0.0036197654902935,True,True,0.960260570049286,0.0081884916871786,0.960260570049286,0.0081884916871786,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,261,who sings the wizards of waverly place theme song,Selena Gomez,Selena Gomez,Selena Gomez,Selena Gomez,0.8985840940754861,0.8990433518216014,0.0004592577461153,True,True,0.9255441427230836,0.024401344358921,0.9255441427230836,0.024401344358921,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,100,when did refrigerator perry play for the bears,1985–1993,1985–1993,1985,1985,0.3807553929276764,0.3817670235410333,0.0010116306133568,True,True,0.7612598538398743,0.0694856122136116,0.7612598538398743,0.0694856122136116,entailed,entailed,already_correct,strict_mix_K10_group=ANSWER_sc_rerank_keep_base,Correct (unchanged)
0,0,detector_conditioned_extract,387,who was the drummer with the travelling wilburys,Jim Keltner,Jim Keltner,Jim Keltner,Jim Keltner,0.8972791323810817,0.8979282917361707,0.000649159355089,True,True,0.9305564165115356,0.0273974183946847,0.9305564165115356,0.0273974183946847,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,37,who has the highest paid contract in the nba,Stephen Curry,Stephen Curry,Stephen Curry,Stephen Curry,0.9048733081109824,0.9055233709886672,0.0006500628776847,True,True,0.9291732907295228,0.020092986524105,0.9291732907295228,0.020092986524105,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,245,when is last time the astros won the world series,2017,2017,2017,2017,0.906171479660552,0.9093455715361052,0.003174091875553,True,True,0.905629336833954,0.0072778933681547,0.905629336833954,0.0072778933681547,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,571,when did the international space station go into space,1998,1998,1998,1998,0.9185231912555172,0.9195192325534298,0.0009960412979125,True,True,0.941073715686798,0.0124123906716704,0.941073715686798,0.0124123906716704,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,395,who sang the end of the world as we know it,R.E.M.,R.E.M.,REM,R.E.M,0.7929471960663796,0.8403622036240995,0.0474150075577198,True,True,0.8302835822105408,0.0752384513616561,0.9266190528869628,0.0324478335678577,entailed,entailed,already_correct,mid_mix_K10_group=ANSWER_sc_rerank,Correct (unchanged)
0,0,detector_conditioned_extract,634,who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,Bob Dylan,Bob Dylan,0.9125976055068896,0.9129867822770028,0.0003891767701134,True,True,0.9474577307701112,0.0207726191729307,0.9474577307701112,0.0207726191729307,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,102,where is wind power used most in the united states,Texas,Texas,Texas,Texas,0.8611922515695916,0.9105455054109916,0.0493532538414001,True,True,0.9208461046218872,0.0122979925945401,0.9208461046218872,0.0122979925945401,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,644,where was the original planet of the apes filmed at,California,California,California,California,0.9013472151150927,0.9146664898982272,0.0133192747831344,True,True,0.9346468448638916,0.0141551913693547,0.9346468448638916,0.0141551913693547,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
