case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,action
0,0,base,796,various artists the secret of my success songs,"""The Secret of My Success"" (performed by Night Ranger)","""The Secret of My Success"" (performed by Night Ranger)",Bruce Springsteen,Bruce Springsteen,0.0,0.0,0.0,False,False,0.015389088541269302,0.9546394944190979,0.015389088541269302,0.9546394944190979,contradict,contradict,still_wrong,base_keep
0,0,base,786,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,0.8749426706135274,0.8763980964571237,0.0014554258435963696,True,True,0.9094469547271729,0.03809158504009247,0.9094469547271729,0.03809158504009247,entailed,entailed,already_correct,base_keep
0,0,base,124,the man in the high castle episode 1 season 1,The New World,The New World,Juliana,Juliana,0.0,0.0,0.0,False,False,0.05340256169438362,0.7001853585243225,0.05340256169438362,0.7001853585243225,contradict,contradict,still_wrong,base_keep
0,0,base,505,where does prime rib come from on a cow,the primal rib,the primal rib,Rib,Rib,0.6201449606567621,0.6333590675145387,0.013214106857776686,False,False,0.936211347579956,0.01293603889644146,0.936211347579956,0.01293603889644146,entailed,entailed,still_wrong,base_keep
0,0,base,698,when was the mission san antonio de valero built,the 18th century,the 18th century,1718,1718,0.29727044817060233,0.29863095529377465,0.0013605071231723165,False,False,0.36664488911628723,0.14441056549549103,0.36664488911628723,0.14441056549549103,neutral,neutral,still_wrong,base_keep
0,0,base,194,who wrote the song fly me to the moon,Bart Howard,Bart Howard,Frank Sinatra,Frank Sinatra,0.0,0.0,0.0,False,False,0.010677492246031761,0.9782746434211731,0.010677492246031761,0.9782746434211731,contradict,contradict,still_wrong,base_keep
0,0,base,103,who plays dusty in the movie pure country,George Strait,George Strait,Isla Fisher,Isla Fisher,0.0,0.0,0.0,False,False,0.016486020758748055,0.9613345265388489,0.016486020758748055,0.9613345265388489,contradict,contradict,still_wrong,base_keep
0,0,base,790,what is the cross on a letter t called,crossbar,crossbar,Tail,Tail,0.0,0.0,0.0,False,False,0.16917656362056732,0.7275828123092651,0.16917656362056732,0.7275828123092651,contradict,contradict,still_wrong,base_keep
0,0,base,321,the core of the sun in which the sun's thermonuclear energy is produced takes up about,extends from the center to about 20–25% of the solar radius,extends from the center to about 20–25% of the solar radius,Core,Core,0.1365599618293345,0.1372828774154186,0.0007229155860841163,False,False,0.5830133557319641,0.25722643733024597,0.5830133557319641,0.25722643733024597,entailed,entailed,still_wrong,base_keep
0,0,base,629,when was the last time vancouver had an earthquake,1946,1946,2018,2018,0.0,0.0,0.0,False,False,0.02515489235520363,0.9535207152366638,0.02515489235520363,0.9535207152366638,contradict,contradict,still_wrong,base_keep
0,0,base,429,when was the last time ny rangers won stanley cup,1993–94,1993–94,1994,1994,0.5665141776576639,0.5679887310042977,0.0014745533466338223,False,False,0.7878000140190125,0.05316717177629471,0.7878000140190125,0.05316717177629471,entailed,entailed,still_wrong,base_keep
0,0,base,445,where is the diaphragm located on the human body,the inferior thoracic border,the inferior thoracic border,located on abdomen,located on abdomen,0.4210507371230051,0.4210507371230051,0.0,False,False,0.8093425631523132,0.04900902509689331,0.8093425631523132,0.04900902509689331,entailed,entailed,still_wrong,base_keep
0,0,base,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,the zona fasciculata of the adrenal cortex within the adrenal gland,adrenal glands,adrenal glands,0.5047214937629179,0.5048659449908882,0.0001444512279703547,False,False,0.8710315823554993,0.027981260791420937,0.8710315823554993,0.027981260791420937,entailed,entailed,still_wrong,base_keep
0,0,base,574,who sings two pints of lager and a packet of crisps,Splodgenessabounds,Splodgenessabounds,Frank Skinner,Frank Skinner,0.0,0.0,0.0,False,False,0.051402315497398376,0.8712306618690491,0.051402315497398376,0.8712306618690491,contradict,contradict,still_wrong,base_keep
0,0,base,277,who played gareth in four weddings and a funeral,Simon Callow,Simon Callow,Matthew Rhys,Matthew Rhys,0.0,0.0,0.0,False,False,0.004767005331814289,0.9892218112945557,0.004767005331814289,0.9892218112945557,contradict,contradict,still_wrong,base_keep
0,0,base,158,when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971",1971,1971,0.7901407907158137,0.7916569739021361,0.0015161831863224062,False,False,0.9206445813179016,0.007633087690919638,0.9206445813179016,0.007633087690919638,entailed,entailed,still_wrong,base_keep
0,0,base,230,what is the meaning of the word autumn,connotations of the passing of the year,connotations of the passing of the year,Autumn = Fall,Autumn = Fall,0.0907333831768483,0.09126517847180367,0.0005317952949553673,False,False,0.060751765966415405,0.043674107640981674,0.060751765966415405,0.043674107640981674,neutral,neutral,still_wrong,base_keep
0,0,base,699,what is the second book in the alchemyst series,The Magician,The Magician,Sabriel,Sabriel,0.0,0.0,0.0,False,False,0.11039888113737106,0.5040398240089417,0.11039888113737106,0.5040398240089417,contradict,contradict,still_wrong,base_keep
0,0,base,605,who is jojo in horton hears a who,Jesse McCartney,Jesse McCartney,the cat,the cat,0.0,0.0,0.0,False,False,0.019883127883076668,0.9630182385444641,0.019883127883076668,0.9630182385444641,contradict,contradict,still_wrong,base_keep
0,0,base,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,Richard Gere,Richard Gere,0.9172694205911831,0.9175357190798968,0.0002662984887137343,True,True,0.9447823166847229,0.01565895415842533,0.9447823166847229,0.01565895415842533,entailed,entailed,already_correct,base_keep
0,0,base,235,when was the first star wars film released,"May 25, 1977","May 25, 1977",1977,1977,0.7952526242844761,0.7967305748164654,0.0014779505319892916,False,False,0.9309532046318054,0.007198367267847061,0.9309532046318054,0.007198367267847061,entailed,entailed,still_wrong,base_keep
