run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,always_mild,882,Hugh Grant is a firefighter.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no information or credible sources that suggest Hugh Grant has ever worked as a firefighter.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to determine whether Hugh Grant is a firefighter or not.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,637,Rosamund Pike worked with David Yates.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates. There is no information in the provided text to suggest they have collaborated on any project.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to support or refute the claim that Rosamund Pike worked with David Yates.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,881,Amazon.com sells 8-Tracks.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not show that Amazon.com sells 8-tracks. In fact, Amazon's product catalog does not list any 8-track tapes for sale.","LABEL: NOT ENOUGH INFO
REASON: Amazon.com does not sell 8-tracks as they are an outdated format that were popular in the 1970s and 1980s, but have since been replaced by digital music formats such as CDs, MP3s, and streaming services.",0.2,0.2,0.0,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,970,Tim Rice wrote code.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Tim Rice wrote code. There is no information in the provided text to suggest that Tim Rice has written any code, let alone for this specific task. Therefore, the claim is refuted.","LABEL: NOT ENOUGH INFO
REASON: The evidence provided does not contain enough information to support or refute the claim that Tim Rice wrote code.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,284,Charles Dickens was born in a barn.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided states that Charles Dickens was born in Portsmouth, England, which is not a barn.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to support or refute the claim that Charles Dickens was born in a barn.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,440,Maria Sharapova sold meldonium.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Maria Sharapova sold meldonium. There is no direct evidence or credible sources suggesting that she engaged in such activity.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to support or refute the claim that Maria Sharapova sold meldonium.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,260,Eddie Redmayne appeared in a film.,,SUPPORTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Eddie Redmayne appeared in a film, as there is no mention of any specific movie or role he played.","LABEL: SUPPORTED
REASON: Eddie Redmayne has starred in numerous films, including ""The Theory of Everything,"" ""The Danish Girl,"" and ""Fantastic Beasts and Where to Find Them.""",0.2,0.55,0.35,REFUTED,SUPPORTED,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,False,always_mild
0,always_mild,168,Judi Dench starred in Avengers: Age of Ultron.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Judi Dench starred in Avengers: Age of Ultron, as there is no mention of her in the movie's credits or any other reliable sources.","LABEL: NOT ENOUGH INFO
REASON: The evidence provided does not mention Judi Dench or Avengers: Age of Ultron, and therefore there is insufficient information to support the claim.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,752,X-Men (film) was directed by an American director name Bryan Singer.,,SUPPORTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Bryan Singer directed X-Men. While Bryan Singer has directed several films, including X-Men, the film was actually directed by Bryan Singer.","LABEL: SUPPORTED
REASON: Bryan Singer is credited as the director of X-Men on various film databases and websites, such as IMDb and Rotten Tomatoes.",0.2,0.55,0.35,REFUTED,SUPPORTED,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,False,always_mild
0,always_mild,985,The United States is entirely in NATO.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that the United States is entirely in NATO. While the United States is a member of NATO, it is not the entire country that is part of the alliance. There are many parts of the United States that are not within the boundaries of NATO.","LABEL: NOT ENOUGH INFO
REASON: The United States is not entirely in NATO as it is a military alliance and the US is only a member of certain components of NATO, such as the North Atlantic Treaty Organization and the NATO Alliance.",0.2,0.2,0.0,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,972,"Penny Dreadful has Dorian Gray, the character.",,SUPPORTED,"LABEL: REFUTED
REASON: The show does not feature any direct reference or appearance of Dorian Gray, a character from the novel ""The Picture of Dorian Gray"" by Oscar Wilde.","LABEL: SUPPORTED
REASON: Penny Dreadful features a character named Dorian Gray, who is based on the original character from the novel ""The Picture of Dorian Gray"" by Oscar Wilde.",0.2,0.55,0.35,REFUTED,SUPPORTED,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,False,always_mild
0,always_mild,481,Michael J. Fox had a virus.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not suggest that Michael J. Fox had a virus. There is no direct confirmation or mention of a virus in the article.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide enough information to support or refute the claim that Michael J. Fox had a virus.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,428,Rachel McAdams was acting in America.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not mention any information about Rachel McAdams acting in America, therefore it is refuted.","LABEL: NOT ENOUGH INFO
REASON: The evidence provided does not sufficient to determine whether Rachel McAdams was acting in America or not.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,259,Miss Peregrine's Home for Peculiar Children was directed by a vegan.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: There is no direct evidence in the provided information to suggest that Tim Burton is a vegan. While the article mentions that Burton follows a ""plant-based"" diet, it does not explicitly state that he is a vegan. Additionally, the term ""plant-based"" can encompass a variety of diets, including vegetarian and flexitarian options, rather than exclusively vegan.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to determine whether Tim Burton, the director of Miss Peregrine's Home for Peculiar Children, is a vegan or not.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,633,Ted Kaczynski died in a village.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The claim that Ted Kaczynski died in a village is refuted by the available evidence, which indicates that he is still alive and incarcerated in a federal prison.","LABEL: NOT ENOUGH INFO
REASON: Insufficient evidence to determine if Ted Kaczynski died in a village or not.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,286,Jim Carrey is a novelist.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not suggest that Jim Carrey is a novelist. While he is an actor and comedian, there is no information provided to indicate that he has written any novels.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to support the claim that Jim Carrey is a novelist.",0.2,0.55,0.35,REFUTED,NOT ENOUGH INFO,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,True,always_mild
0,always_mild,431,Elementary has Jon Michael Hill in its cast.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not suggest that Jon Michael Hill is a member of the cast of Elementary. In fact, there is no information available on Jon Michael Hill's current acting projects or roles. Therefore, it can be concluded that he is not in the cast of Elementary.","LABEL: SUPPORTED
REASON: Jon Michael Hill is listed on the official website of Elementary as a cast member.",0.2,0.55,0.35,REFUTED,SUPPORTED,False,True,0.0,0.0,0.0,0.0,neutral,neutral,fixed,False,always_mild
