case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,final_NEI,action
1,0,extract_once,629,when was the last time vancouver had an earthquake,1946,1946,"According to the Context, the last time Vancouver had an earthquake was on July 14, 2003","According to the Context, the last time Vancouver had an earthquake was on July 14, 2018",6.852351361885667e-07,0.0009798658960704643,0.0009791806609342757,False,False,0.12684166431427002,0.5041389465332031,0.12265367060899734,0.343485951423645,contradict,neutral,still_wrong,False,extract_once
1,0,extract_once,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,"Richard Gere starred in ""An Officer and a Gentleman",Richard Gere,0.11929823656188934,0.8418717957874634,0.7225735592255741,True,True,0.006295814178884029,0.01895204745233059,0.9447823166847229,0.01565895415842533,neutral,entailed,already_correct,False,extract_once
1,0,extract_once,235,when was the first star wars film released,"May 25, 1977","May 25, 1977","The first Star Wars film, ""Star Wars: Episode IV - A New Hope,"" was released in 1977","The first Star Wars film, ""Star Wars: Episode IV - A New Hope,"" was released on May 25, 1977",0.07431189772584595,0.10430000033456331,0.029988102608717357,False,True,0.05492968484759331,0.06059543043375015,0.027457566931843758,0.03121803142130375,neutral,neutral,fixed,False,extract_once
1,0,extract_once,123,when is the president sworn into office (date and time of an odd or even year),at noon on the 20th day of January,at noon on the 20th day of January,"The President of the United States is sworn into office on January 20th of every odd-numbered year, at 12:00 PM Eastern Standard Time","January 20th, at 12:00 PM (noon)",0.1261187713912772,0.6331336580159391,0.507014886624662,False,True,0.017106827348470688,0.009611510671675205,0.8805879950523376,0.0033646931406110525,neutral,entailed,fixed,False,extract_once
1,0,extract_once,686,who is the speaker in shooting an elephant,Orwell,Orwell,The speaker in shooting an elephant is the colonel,"The speaker in shooting an elephant is the British colonial officer, as described in the context",0.00029782705605668996,0.038878840803288406,0.03858101374723172,False,False,0.06803690642118454,0.586288332939148,0.055560026317834854,0.3141140937805176,contradict,neutral,still_wrong,False,extract_once
1,0,extract_once,157,when did disney art of animation resort open,"May 31, 2012","May 31, 2012","The Disney Art of Animation Resort opened on May 31, 2018","The Disney Art of Animation Resort opened on May 31, 2012",0.007756181829768707,0.12578088746661895,0.11802470563685023,False,True,0.005483447574079037,0.9560443758964539,0.0074425749480724335,0.04065484181046486,contradict,neutral,fixed,False,extract_once
1,0,extract_once,537,who got the first arjun award in athletics,Gurbachan Singh Randhawa,Gurbachan Singh Randhawa,The first Arjun Award in athletics was given to P. T. Usha in 1968,FINAL ANSWER: The first Arjun Award in athletics was given to P. T. Usha in 1968,4.469584843036426e-07,0.0021012308376996106,0.002100783879215307,False,False,0.06340042501688004,0.5033427476882935,0.0614573135972023,0.2708040773868561,contradict,neutral,still_wrong,False,extract_once
1,0,extract_K,796,various artists the secret of my success songs,"""The Secret of My Success"" (performed by Night Ranger)","""The Secret of My Success"" (performed by Night Ranger)",The Secret of My Success is a song by Bruce Springsteen,The secret of my success songs by various artists,0.009671809864975326,0.14510389301606527,0.13543208315108995,True,True,0.001273521687835455,0.9952724575996399,0.05089623108506203,0.015579883009195328,contradict,neutral,already_correct,False,extract_K10_group_sc
1,0,extract_K,786,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Georges Auguste Escoffier,The French chef given credit for developing the classic kitchen brigade is Georges Auguste Escoffier,Georges Auguste Escoffier,0.11983607611014531,0.765239981107672,0.6454039049975266,True,True,0.012946328148245811,0.003115517320111394,0.9094469547271729,0.03809158504009247,neutral,entailed,already_correct,False,extract_K10_group_sc
1,0,extract_K,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,"Richard Gere starred in ""An Officer and a Gentleman",Richard Gere,0.11929823656188934,0.8350996700409058,0.7158014334790165,True,True,0.006295814178884029,0.01895204745233059,0.9447823166847229,0.01565895415842533,neutral,entailed,already_correct,False,extract_K10_group_sc
1,0,extract_K,235,when was the first star wars film released,"May 25, 1977","May 25, 1977","The first Star Wars film, ""Star Wars: Episode IV - A New Hope,"" was released in 1977","The first Star Wars film, ""Star Wars: Episode IV - A New Hope,"" was released on May 25, 1977",0.07431189772584595,0.09688454496534117,0.022572647239495217,False,True,0.05492968484759331,0.06059543043375015,0.027457566931843758,0.03121803142130375,neutral,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,401,when did the new day win the tag team titles,2016,2016,"The New Day won the WWE Tag Team Titles on November 16, 2015","The New Day won the WWE Tag Team Titles on November 16, 2016",0.0002552565677446237,0.07346735107229314,0.07321209450454852,False,True,0.042560551315546036,0.5798837542533875,0.019080936908721924,0.02016463316977024,contradict,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,362,when was last time bayern munich won champions league,2000–01,2000–01,Bayern Munich last won the Champions League in 2014,FINAL ANSWER: Bayern Munich last won the Champions League in 2014,8.450363635859151e-07,0.0005727717119880922,0.0005719266756245063,False,False,0.10525930672883987,0.5045962929725647,0.08858788758516312,0.36261576414108276,contradict,neutral,still_wrong,False,extract_K10_group_sc
1,0,extract_K,496,when did the second it movie come out,"September 6, 2019","September 6, 2019",1992,"The second ""It"" movie, also known as ""It Chapter Two,"" was released on September 6, 2019",0.0047844243303985946,0.08162843782786611,0.07684401349746751,False,True,0.0657067820429802,0.8458476662635803,0.012112796306610107,0.010398496873676777,contradict,neutral,fixed,False,extract_K10_group_sc
1,0,extract_K,123,when is the president sworn into office (date and time of an odd or even year),at noon on the 20th day of January,at noon on the 20th day of January,"The President of the United States is sworn into office on January 20th of every odd-numbered year, at 12:00 PM Eastern Standard Time","January 20th, at 12:00 PM (noon)",0.1261187713912772,0.5572994966351222,0.43118072524384504,False,True,0.017106827348470688,0.009611510671675205,0.8805879950523376,0.0033646931406110525,neutral,entailed,fixed,False,extract_K10_group_sc
1,0,extract_K,686,who is the speaker in shooting an elephant,Orwell,Orwell,The speaker in shooting an elephant is the colonel,"The speaker in shooting an elephant is the British colonial officer, as described in the context",0.00029782705605668996,0.027219673130807462,0.02692184607475077,False,False,0.06803690642118454,0.586288332939148,0.055560026317834854,0.3141140937805176,contradict,neutral,still_wrong,False,extract_K10_group_sc
