mode,run,q_idx,question,gold_label,evidence,answer,gold_ok,pred_ok,score,threshold,judge_ok,ent,con,selfcheck
full,0,149,Doctor Who is not produced by the BBC.,REFUTED,,"LABEL: REFUTED
REASON: The BBC is consistently recognized as the producer of Doctor Who, and there is no credible evidence to suggest otherwise.",True,False,0.19897989751771095,0.2,False,0.0,0.0,0.005100512411445379
full,0,752,X-Men (film) was directed by an American director name Bryan Singer.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The film ""X-Men"" was released in 2000 and directed by Bryan Singer, as stated on the official X-Men website and numerous other reliable sources.",True,False,0.19968090462498367,0.2,False,0.0,0.0,0.0015954768750816584
full,0,752,X-Men (film) was directed by an American director name Bryan Singer.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The claim that Bryan Singer directed X-Men is supported by the fact that he was indeed the director of the film, as confirmed by credible sources such as IMDb and other reliable movie databases.",True,False,0.19968090462498367,0.2,False,0.0,0.0,0.0015954768750816584
full,0,806,The Olympic Games occur every two years.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that the Olympic Games occur every two years. In fact, the Olympic Games actually take place every four years, as stated in the International Olympic Committee's (IOC) official website.",True,False,0.19897989751771095,0.2,False,0.0,0.0,0.005100512411445379
full,0,945,The Avengers (2012 film) features Chris Evans as Captain America.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The film ""The Avengers"" (2012) features Chris Evans as Captain America, which is a well-known fact and can be easily verified through various sources such as movie posters, trailers, and interviews.",True,False,0.19968090462498367,0.2,False,0.0,0.0,0.0015954768750816584
full,0,154,Lily Collins has acted.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Lily Collins is an actress, which suggests that she has acted in various roles.",True,False,0.11063874396495521,0.2,False,0.0,0.0,0.44680628017522395
full,0,431,Elementary has Jon Michael Hill in its cast.,SUPPORTED,,"LABEL: SUPPORTED
REASON: SUPPORTED. The evidence provided is sufficient to support the claim that Jon Michael Hill is a cast member of Elementary.",True,False,0.11087241300071278,0.2,False,0.0,0.0,0.44563793499643606
full,0,866,Penny Dreadful did not have an eight-episode season.,REFUTED,,"LABEL: REFUTED
REASON: The show ran for three seasons (30 episodes) from 2014 to 2019, and there is no evidence to suggest that it had an eight-episode season.",True,False,0.19897989751771095,0.2,False,0.0,0.0,0.005100512411445379
full,0,866,Penny Dreadful did not have an eight-episode season.,REFUTED,,"LABEL: REFUTED
REASON: The show's official website and other sources confirm that the first season consisted of 10 episodes, not 8.",True,False,0.19897989751771095,0.2,False,0.0,0.0,0.005100512411445379
full,0,122,Breaking Bad was the recipient of two Peabody Awards.,SUPPORTED,,"LABEL: SUPPORTED
REASON: According to the provided evidence, Breaking Bad did receive two Peabody Awards, which supports the claim.",True,False,0.11063874396495521,0.2,False,0.0,0.0,0.44680628017522395
