case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,action,outcome
1,0,detector_conditioned_extract,796,various artists the secret of my success songs,"""The Secret of My Success"" (performed by Night Ranger)","""The Secret of My Success"" (performed by Night Ranger)",Bruce Springsteen,various artists,0.0,0.1156548523227684,0.1156548523227684,False,False,0.0153890885412693,0.954639494419098,0.2242949157953262,0.0034873127005994,contradict,neutral,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,124,the man in the high castle episode 1 season 1,The New World,The New World,Juliana,Juliana,0.0,0.0,0.0,False,False,0.0534025616943836,0.7001853585243225,0.0534025616943836,0.7001853585243225,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,505,where does prime rib come from on a cow,the primal rib,the primal rib,Rib,Rib,0.6201449606567621,0.6333590675145387,0.0132141068577766,False,False,0.936211347579956,0.0129360388964414,0.936211347579956,0.0129360388964414,entailed,entailed,still_wrong,strict_mix_K10_group=ANSWER_sc_rerank_keep_base,Incorrect (unchanged)
0,0,detector_conditioned_extract,698,when was the mission san antonio de valero built,the 18th century,the 18th century,1718,1718,0.2972704481706023,0.2986309552937746,0.0013605071231723,False,False,0.3666448891162872,0.144410565495491,0.3666448891162872,0.144410565495491,neutral,neutral,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,103,who plays dusty in the movie pure country,George Strait,George Strait,Isla Fisher,Isla Fisher,0.0,0.0,0.0,False,False,0.016486020758748,0.9613345265388488,0.016486020758748,0.9613345265388488,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,790,what is the cross on a letter t called,crossbar,crossbar,Tail,Tail,0.0,0.0,0.0,False,False,0.1691765636205673,0.7275828123092651,0.1691765636205673,0.7275828123092651,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,321,the core of the sun in which the sun's thermonuclear energy is produced takes up about,extends from the center to about 20–25% of the solar radius,extends from the center to about 20–25% of the solar radius,Core,Core,0.1365599618293345,0.1372828774154186,0.0007229155860841,False,False,0.5830133557319641,0.2572264373302459,0.5830133557319641,0.2572264373302459,entailed,entailed,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,629,when was the last time vancouver had an earthquake,1946,1946,2011,2011,0.0,0.0,0.0,False,False,0.0061598350293934,0.9891329407691956,0.0061598350293934,0.9891329407691956,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,429,when was the last time ny rangers won stanley cup,1993–94,1993–94,1994,1994,0.5665141776576639,0.5679887310042977,0.0014745533466338,False,False,0.7878000140190125,0.0531671717762947,0.7878000140190125,0.0531671717762947,entailed,entailed,still_wrong,strict_mix_K10_group=ANSWER_sc_rerank_keep_base,Incorrect (unchanged)
0,0,detector_conditioned_extract,445,where is the diaphragm located on the human body,the inferior thoracic border,the inferior thoracic border,body's abdomen,located on abdomen,0.3819234544411302,0.4203095520148053,0.0383860975736751,False,False,0.7126545906066895,0.0433901362121105,0.8093425631523132,0.0490090250968933,entailed,entailed,still_wrong,strict_mix_K10_group=ANSWER_sc_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,the zona fasciculata of the adrenal cortex within the adrenal gland,adrenal glands,Adrenal glands,0.5047214937629179,0.5143845671993823,0.0096630734364644,False,False,0.8710315823554993,0.0279812607914209,0.8736990094184875,0.0187531728297472,entailed,entailed,still_wrong,strict_mix_K10_group=ANSWER_sc_rerank,Incorrect (unchanged)
