run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,policy,109,Lauren Graham is an author.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author. There is no information in the provided text about Lauren Graham's authorship or any of her works as an author.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author. There is no information in the provided text about Lauren Graham's authorship or any of her works as an author.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,417,U2 is a band.,,SUPPORTED,"LABEL: REFUTED
REASON: Based on the provided evidence, there is no mention of U2 as a band, suggesting that they are not a group of musicians playing music together.","LABEL: REFUTED
REASON: Based on the provided evidence, there is no mention of U2 as a band, suggesting that they are not a group of musicians playing music together.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,260,Eddie Redmayne appeared in a film.,,SUPPORTED,"LABEL: REFUTED
REASON: Certainly! Please provide the claim you would like me to evaluate, and I will assist you in determining whether it is supported or refuted by the provided evidence.","LABEL: REFUTED
REASON: Certainly! Please provide the claim you would like me to evaluate, and I will assist you in determining whether it is supported or refuted by the provided evidence.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,886,Missing is directed by a person.,,SUPPORTED,"LABEL: NOT ENOUGH INFO
REASON: NOT ENOUGH INFO - The claim does not provide any information or evidence to support the direction of the movie by a specific person, making it impossible to determine whether it is true or false.","LABEL: NOT ENOUGH INFO
REASON: NOT ENOUGH INFO - The claim does not provide any information or evidence to support the direction of the movie by a specific person, making it impossible to determine whether it is true or false.",0.2,0.1993615394923836,-0.0006384605076164,NOT ENOUGH INFO,NOT ENOUGH INFO,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,True,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,959,Jet Li was in The Forbidden Kingdom with Jackie Chan.,,SUPPORTED,"LABEL: REFUTED
REASON: The movie ""The Forbidden Kingdom"" features Jackie Chan and Michael Angarano, but there is no mention of Jet Li as an actor in the film.","LABEL: REFUTED
REASON: The movie ""The Forbidden Kingdom"" features Jackie Chan and Michael Angarano, but there is no mention of Jet Li as an actor in the film.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,972,"Penny Dreadful has Dorian Gray, the character.",,SUPPORTED,"LABEL: REFUTED
REASON: The show does not feature a character named Dorian Gray, who is a central figure in the novel ""The Picture of Dorian Gray"" by Oscar Wilde.","LABEL: REFUTED
REASON: The show does not feature a character named Dorian Gray, who is a central figure in the novel ""The Picture of Dorian Gray"" by Oscar Wilde.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,588,Kolyma has reserves of natural resources.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not provide sufficient information to support the claim that Kolyma has reserves of natural resources. The document only mentions the presence of gold and silver in the region, but does not provide any information on the quantity or quality of these resources, or whether they are located in specific areas within Kolyma. Therefore, it is not possible to determine whether Kolyma has significant reserves of natural resources.","LABEL: REFUTED
REASON: The provided evidence does not provide sufficient information to support the claim that Kolyma has reserves of natural resources. The document only mentions the presence of gold and silver in the region, but does not provide any information on the quantity or quality of these resources, or whether they are located in specific areas within Kolyma. Therefore, it is not possible to determine whether Kolyma has significant reserves of natural resources.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,916,Leonardo da Vinci made discoveries in a field of science.,,SUPPORTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Leonardo da Vinci made discoveries in a field of science. While Leonardo da Vinci was a renowned artist, inventor, and polymath, there is no direct evidence to suggest that he made significant discoveries in a specific field of science.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Leonardo da Vinci made discoveries in a field of science. While Leonardo da Vinci was a renowned artist, inventor, and polymath, there is no direct evidence to suggest that he made significant discoveries in a specific field of science.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,359,Shia LaBeouf appeared in the Indiana Jones film franchise.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not indicate that Shia LaBeouf appeared in any of the Indiana Jones film franchise movies.","LABEL: REFUTED
REASON: The provided evidence does not indicate that Shia LaBeouf appeared in any of the Indiana Jones film franchise movies.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
0,policy,457,Sunrise created a co-production with a design studio.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Sunrise created a co-production with a design studio. The evidence only mentions ""a design studio,"" without specifying which studio or providing any additional information about the collaboration. Without more context or details, it is unclear whether a co-production between Sunrise and a specific design studio actually occurred.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Sunrise created a co-production with a design studio. The evidence only mentions ""a design studio,"" without specifying which studio or providing any additional information about the collaboration. Without more context or details, it is unclear whether a co-production between Sunrise and a specific design studio actually occurred.",0.2,0.1993615394923836,-0.0006384605076164,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,mid_strict_K10_group=NOT ENOUGH INFO_sc_rerank
