case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,action,outcome
1,0,detector_conditioned_extract,796,various artists the secret of my success songs,"""The Secret of My Success"" (performed by Night Ranger)","""The Secret of My Success"" (performed by Night Ranger)",Bruce Springsteen,various artists,0.0,0.1156548523227684,0.1156548523227684,False,False,0.0153890885412693,0.954639494419098,0.2242949157953262,0.0034873127005994,contradict,neutral,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,786,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,Georges Auguste Escoffier,0.8749426706135274,0.8763980964571237,0.0014554258435963,True,True,0.9094469547271729,0.0380915850400924,0.9094469547271729,0.0380915850400924,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,124,the man in the high castle episode 1 season 1,The New World,The New World,Juliana,Juliana,0.0,0.0,0.0,False,False,0.0534025616943836,0.7001853585243225,0.0534025616943836,0.7001853585243225,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,505,where does prime rib come from on a cow,the primal rib,the primal rib,Rib,Rib,0.6201449606567621,0.6333590675145387,0.0132141068577766,False,False,0.936211347579956,0.0129360388964414,0.936211347579956,0.0129360388964414,entailed,entailed,still_wrong,strict_mix_K10_group=ANSWER_sc_rerank_keep_base,Incorrect (unchanged)
0,0,detector_conditioned_extract,698,when was the mission san antonio de valero built,the 18th century,the 18th century,1718,1718,0.2972704481706023,0.2986309552937746,0.0013605071231723,False,False,0.3666448891162872,0.144410565495491,0.3666448891162872,0.144410565495491,neutral,neutral,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,194,who wrote the song fly me to the moon,Bart Howard,Bart Howard,Bart Howard,Bart Howard,0.8945904904417694,0.8951861227769405,0.0005956323351711,True,True,0.9237701296806335,0.0271203871816396,0.9237701296806335,0.0271203871816396,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,103,who plays dusty in the movie pure country,George Strait,George Strait,Isla Fisher,Isla Fisher,0.0,0.0,0.0,False,False,0.016486020758748,0.9613345265388488,0.016486020758748,0.9613345265388488,contradict,contradict,still_wrong,force_extract_rerank,Incorrect (unchanged)
0,0,detector_conditioned_extract,181,who starred in an officer and a gentleman,Richard Gere,Richard Gere,Richard Gere,Richard Gere,0.9172694205911832,0.9175357190798968,0.0002662984887137,True,True,0.9447823166847228,0.0156589541584253,0.9447823166847228,0.0156589541584253,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,735,who has the most catches in nfl history,Jerry Rice,Jerry Rice,Jerry Rice,Jerry Rice,0.9119363821018488,0.9124908045306802,0.0005544224288314,True,True,0.9431017637252808,0.019471101462841,0.9431017637252808,0.019471101462841,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
0,0,detector_conditioned_extract,621,who was the buccaneers qb when they won the superbowl,Brad Johnson,Brad Johnson,Brad Johnson,Brad Johnson,0.9104600126761944,0.9109729378391056,0.0005129251629113,True,True,0.9446694254875184,0.0214473810046911,0.9446694254875184,0.0214473810046911,entailed,entailed,already_correct,keep_high_conf,Correct (unchanged)
1,0,detector_conditioned_extract,19,which material is the heaviest in term of density,Osmium,Osmium,Uranium,Osmium,0.0,0.8416598330158741,0.8416598330158741,False,True,0.0785377770662307,0.8466784954071045,0.9370489120483398,0.021096920594573,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,504,the secret of crickley hall how many episodes,3,3,6,3 episodes,0.0,0.3318656568322331,0.3318656568322331,False,True,0.0247150398790836,0.8925758600234985,0.0601001344621181,0.0210044998675584,contradict,neutral,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,160,what college does everyone in gossip girl go to,New York University,New York University,Constance Billard,New York University,0.0,0.8262150071002544,0.8262150071002544,False,True,0.0998629629611969,0.6690922975540161,0.9425460696220398,0.0182195119559764,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,511,when was the internet introduced to the public,September 1993,September 1993,1991,1993,0.0,0.6956618025961022,0.6956618025961022,False,True,0.0325449779629707,0.940786361694336,0.853716254234314,0.0146379433572292,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,697,when did the jurassic park movies come out,1993,1993,AND 1997,1993,0.0,0.8249434011196717,0.8249434011196717,False,True,0.0247627533972263,0.7903933525085449,0.944265067577362,0.0095509784296154,contradict,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,708,a bond that the issuer has the right to pay off before its maturity date,callable,callable,Callable bond,Call option,0.4953745799550476,0.4994811138836668,0.0041065339286192,True,False,0.1676049381494522,0.0056630386970937,0.9137664437294006,0.0100719695910811,neutral,entailed,regressed,strict_mix_K10_group=ANSWER_sc_rerank,Regressed
