run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,base,882,Hugh Grant is a firefighter.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no credible source or information that suggests Hugh Grant has ever worked as a firefighter. In fact, Hugh Grant is a well-known actor and filmmaker, with a long career in the entertainment industry. Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no credible source or information that suggests Hugh Grant has ever worked as a firefighter. In fact, Hugh Grant is a well-known actor and filmmaker, with a long career in the entertainment industry. Therefore, the claim is refuted.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,637,Rosamund Pike worked with David Yates.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates, as there is no mention of such collaboration in any credible sources.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates, as there is no mention of such collaboration in any credible sources.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,109,Lauren Graham is an author.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author. There is no information in the provided text about Lauren Graham's authorship or any of her works as an author.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author. There is no information in the provided text about Lauren Graham's authorship or any of her works as an author.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the fact that she is a successful singer-songwriter and musician, with numerous hit songs and albums to her credit.","LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the fact that she is a successful singer-songwriter and musician, with numerous hit songs and albums to her credit.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,417,U2 is a band.,,SUPPORTED,"LABEL: REFUTED
REASON: Based on the provided evidence, there is no mention of U2 as a band, suggesting that they are not a group of musicians playing music together.","LABEL: REFUTED
REASON: Based on the provided evidence, there is no mention of U2 as a band, suggesting that they are not a group of musicians playing music together.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided states that Doctor Who is produced by the BBC, which is a contradiction to the claim.","LABEL: REFUTED
REASON: The evidence provided states that Doctor Who is produced by the BBC, which is a contradiction to the claim.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a philosophical and spiritual tradition originating from India, as evidenced by its definition and usage in various sources, including books, academic papers, and websites. There is no evidence to suggest that it is an umbrella term for legumes or any other group of plants.","LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a philosophical and spiritual tradition originating from India, as evidenced by its definition and usage in various sources, including books, academic papers, and websites. There is no evidence to suggest that it is an umbrella term for legumes or any other group of plants.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show featured actresses and musicians, including Paris Hilton herself, which contradicts the claim of an all-male cast.","LABEL: REFUTED
REASON: The show featured actresses and musicians, including Paris Hilton herself, which contradicts the claim of an all-male cast.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While both streets are located within the Chinatown neighborhood, there is no explicit indication in the provided information that they serve as the central hub or focal point of the area. In fact, the information mentions several other streets and locations within Chinatown, which suggests a more complex and multifaceted layout for the neighborhood. Therefore, the claim is refuted based on the insufficient evidence provided.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While both streets are located within the Chinatown neighborhood, there is no explicit indication in the provided information that they serve as the central hub or focal point of the area. In fact, the information mentions several other streets and locations within Chinatown, which suggests a more complex and multifaceted layout for the neighborhood. Therefore, the claim is refuted based on the insufficient evidence provided.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,881,Amazon.com sells 8-Tracks.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Amazon.com sells 8-Tracks. The website's product catalog and search function do not list any 8-Track players or accessories, and the company's history and focus on online retail and digital media make it unlikely that they would carry such an outdated technology.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Amazon.com sells 8-Tracks. The website's product catalog and search function do not list any 8-Track players or accessories, and the company's history and focus on online retail and digital media make it unlikely that they would carry such an outdated technology.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
