mode,run,q_idx,question,reference,answer,gold_ok,pred_ok,score,threshold,judge_ok,ent,con,selfcheck
full,0,698,when was the mission san antonio de valero built,the 18th century,"The Mission San Antonio de Valero, also known as the Alamo, was built in 1718",False,True,0.08257668907879051,0.08,True,0.007737468928098679,0.004125569481402636,0.0017356647877022624
full,0,698,when was the mission san antonio de valero built,the 18th century,"The Mission San Antonio de Valero, also known as the Alamo, was built in 1718",False,True,0.08257668907879051,0.08,True,0.007737468928098679,0.004125569481402636,0.0017356647877022624
full,0,698,when was the mission san antonio de valero built,the 18th century,"The Mission San Antonio de Valero, also known as the Alamo, was built in 1718",False,True,0.08257668907879051,0.08,True,0.007737468928098679,0.004125569481402636,0.0017356647877022624
full,0,698,when was the mission san antonio de valero built,the 18th century,"The Mission San Antonio de Valero, also known as the Alamo, was built in 1718",False,True,0.08257668907879051,0.08,True,0.007737468928098679,0.004125569481402636,0.0017356647877022624
full,0,698,when was the mission san antonio de valero built,the 18th century,"The Mission San Antonio de Valero, also known as the Alamo, was built in 1718",False,True,0.08257668907879051,0.08,True,0.007737468928098679,0.004125569481402636,0.0017356647877022624
full,0,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,"Cortisol is produced by the adrenal glands, which are located on top of the kidneys",False,True,0.10947480934619178,0.08,True,0.016389911994338036,0.021728746592998505,0.00036108537460677326
full,0,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,"Cortisol is produced by the adrenal glands, which are located on top of the kidneys",False,True,0.10947480934619178,0.08,True,0.016389911994338036,0.021728746592998505,0.00036108537460677326
full,0,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,"Cortisol is produced by the adrenal glands, which are located on top of the kidneys",False,True,0.10947480934619178,0.08,True,0.016389911994338036,0.021728746592998505,0.00036108537460677326
full,0,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,"Cortisol is produced by the adrenal glands, which are located on top of the kidneys",False,True,0.10947480934619178,0.08,True,0.016389911994338036,0.021728746592998505,0.00036108537460677326
full,0,376,where does cortisol come from in the body,the zona fasciculata of the adrenal cortex within the adrenal gland,"Cortisol is produced by the adrenal glands, which are located on top of the kidneys",False,True,0.10947480934619178,0.08,True,0.016389911994338036,0.021728746592998505,0.00036108537460677326
full,0,230,what is the meaning of the word autumn,connotations of the passing of the year,"The meaning of the word autumn is the season between summer and winter, marked by falling leaves, cooler temperatures, and shorter days",False,True,0.09584797414761069,0.08,True,0.003923261538147926,0.007730337791144848,0.0018498548597563058
