run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,base,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim is refuted by the fact that Shakira is a successful singer and songwriter, as well as a philanthropist and entrepreneur, which suggests that she has a diverse range of skills and talents beyond mechanics.","LABEL: REFUTED
REASON: The claim is refuted by the fact that Shakira is a successful singer and songwriter, as well as a philanthropist and entrepreneur, which suggests that she has a diverse range of skills and talents beyond mechanics.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,417,U2 is a band.,,SUPPORTED,"LABEL: SUPPORTED
REASON: The claim is supported by the fact that U2 has released numerous albums and singles, has performed in concerts and tours, and has been recognized with various awards and nominations for their music.","LABEL: SUPPORTED
REASON: The claim is supported by the fact that U2 has released numerous albums and singles, has performed in concerts and tours, and has been recognized with various awards and nominations for their music.",0.55,0.55,0.0,SUPPORTED,SUPPORTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The BBC has been the primary broadcaster of Doctor Who since its inception in 1963, and the show's production company, BBC Studios, continues to produce the series today.","LABEL: REFUTED
REASON: The BBC has been the primary broadcaster of Doctor Who since its inception in 1963, and the show's production company, BBC Studios, continues to produce the series today.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a particular school of Hindu philosophy, and does not encompass a broader category of legumes.","LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a particular school of Hindu philosophy, and does not encompass a broader category of legumes.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show ""The World According to Paris"" featured a diverse cast of actors and actresses, including women. Therefore, the claim that the show had an all-male cast is refuted by the available evidence.","LABEL: REFUTED
REASON: The show ""The World According to Paris"" featured a diverse cast of actors and actresses, including women. Therefore, the claim that the show had an all-male cast is refuted by the available evidence.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect in San Francisco's Chinatown, the neighborhood stretches beyond these two streets and includes other areas such as Grant Avenue, Stockton Street, and Washington Square Park. Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect in San Francisco's Chinatown, the neighborhood stretches beyond these two streets and includes other areas such as Grant Avenue, Stockton Street, and Washington Square Park. Therefore, the claim is refuted.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,953,Ellen DeGeneres is a Gemini.,,REFUTED,"LABEL: REFUTED
REASON: The birthdate of Ellen DeGeneres is May 26, 1958, which makes her a Cancer according to the zodiac signs.","LABEL: REFUTED
REASON: The birthdate of Ellen DeGeneres is May 26, 1958, which makes her a Cancer according to the zodiac signs.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,669,Hungary is not a country.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Hungary is not a country. Hungary is a recognized sovereign state with its own government, currency, and international diplomatic representation, among other characteristics of a country. Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Hungary is not a country. Hungary is a recognized sovereign state with its own government, currency, and international diplomatic representation, among other characteristics of a country. Therefore, the claim is refuted.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,173,World War II did not have campaigns occurring in Asia.,,REFUTED,"LABEL: REFUTED
REASON: The invasion of Pearl Harbor by Japan in 1941 and the subsequent involvement of other Asian countries in the war, such as China, India, and the Philippines, demonstrate that World War II did have campaigns occurring in Asia.","LABEL: REFUTED
REASON: The invasion of Pearl Harbor by Japan in 1941 and the subsequent involvement of other Asian countries in the war, such as China, India, and the Philippines, demonstrate that World War II did have campaigns occurring in Asia.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,486,Gwen Stefani always declines to perform.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Gwen Stefani always declines to perform. In fact, there are numerous instances of Gwen Stefani performing live and in music videos.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Gwen Stefani always declines to perform. In fact, there are numerous instances of Gwen Stefani performing live and in music videos.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
