run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,base,882,Hugh Grant is a firefighter.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no credible source or information that suggests Hugh Grant has ever worked as a firefighter.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no credible source or information that suggests Hugh Grant has ever worked as a firefighter.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,637,Rosamund Pike worked with David Yates.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates as there is no mention of their collaboration in any credible sources or interviews.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates as there is no mention of their collaboration in any credible sources or interviews.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,109,Lauren Graham is an author.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not indicate that Lauren Graham has published any written works or has been recognized as an author by any reputable sources.","LABEL: REFUTED
REASON: The provided evidence does not indicate that Lauren Graham has published any written works or has been recognized as an author by any reputable sources.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the abundance of evidence showing her success and achievements in the music industry, including her numerous hit songs, awards, and sold-out concerts.","LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the abundance of evidence showing her success and achievements in the music industry, including her numerous hit songs, awards, and sold-out concerts.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,417,U2 is a band.,,SUPPORTED,"LABEL: SUPPORTED
REASON: The evidence provided confirms that U2 is indeed a band, as it mentions their existence and popularity as a group.","LABEL: SUPPORTED
REASON: The evidence provided confirms that U2 is indeed a band, as it mentions their existence and popularity as a group.",0.2,0.2,0.0,SUPPORTED,SUPPORTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The BBC is widely recognized as the production company behind Doctor Who, with a long history of producing the show since its inception in 1963.","LABEL: REFUTED
REASON: The BBC is widely recognized as the production company behind Doctor Who, with a long history of producing the show since its inception in 1963.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Vedanta is an umbrella term for many related legumes. While the article mentions that Vedanta is a genus of legumes, it does not provide any information on the relationships between different species within the genus or how they are grouped together under the umbrella term ""Vedanta."" Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Vedanta is an umbrella term for many related legumes. While the article mentions that Vedanta is a genus of legumes, it does not provide any information on the relationships between different species within the genus or how they are grouped together under the umbrella term ""Vedanta."" Therefore, the claim is refuted.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show featured actresses and actors in main roles, including Paris Hilton herself.","LABEL: REFUTED
REASON: The show featured actresses and actors in main roles, including Paris Hilton herself.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect within Chinatown, the neighborhood spans a larger area than just those two streets. Additionally, there are other important cultural and historical landmarks within Chinatown that are not located at the intersection of Kearny and Mission.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect within Chinatown, the neighborhood spans a larger area than just those two streets. Additionally, there are other important cultural and historical landmarks within Chinatown that are not located at the intersection of Kearny and Mission.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,881,Amazon.com sells 8-Tracks.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not indicate that Amazon.com sells 8-tracks. In fact, Amazon's website does not list any 8-track players or accessories for purchase.","LABEL: REFUTED
REASON: The evidence provided does not indicate that Amazon.com sells 8-tracks. In fact, Amazon's website does not list any 8-track players or accessories for purchase.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
