case_keep,run,policy,q_idx,question,reference,raw_reference,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_reference,final_vs_reference,improvement_type,action,outcome
1,0,detector_conditioned_extract,19,which material is the heaviest in term of density,Osmium,Osmium,Uranium,Osmium,0.0,0.8416598330158741,0.8416598330158741,False,True,0.0785377770662307,0.8466784954071045,0.9370489120483398,0.021096920594573,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,504,the secret of crickley hall how many episodes,3,3,6,3 episodes,0.0,0.3318656568322331,0.3318656568322331,False,True,0.0247150398790836,0.8925758600234985,0.0601001344621181,0.0210044998675584,contradict,neutral,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,160,what college does everyone in gossip girl go to,New York University,New York University,Constance Billard,New York University,0.0,0.8262150071002544,0.8262150071002544,False,True,0.0998629629611969,0.6690922975540161,0.9425460696220398,0.0182195119559764,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,511,when was the internet introduced to the public,September 1993,September 1993,1991,1993,0.0,0.6956618025961022,0.6956618025961022,False,True,0.0325449779629707,0.940786361694336,0.853716254234314,0.0146379433572292,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,697,when did the jurassic park movies come out,1993,1993,AND 1997,1993,0.0,0.8249434011196717,0.8249434011196717,False,True,0.0247627533972263,0.7903933525085449,0.944265067577362,0.0095509784296154,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,116,who told the story of the prodigal son,Jesus Christ,Jesus Christ,Bible,Jesus,0.0419383371248841,0.7230613277976711,0.6811229906727869,False,True,0.2831064462661743,0.2832959294319153,0.9296917915344238,0.021697960793972,neutral,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,538,what is the time setting of game of thrones,medieval,medieval,700s,is medieval,0.1112546114251017,0.695118018463254,0.5838634070381523,False,True,0.0830036550760269,0.0290950089693069,0.8293251395225525,0.0235753804445266,neutral,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,539,who starred in the movie on golden pond,Katharine Hepburn,Katharine Hepburn,Henry Fonda,Katharine Hepburn,0.0,0.790488419532776,0.790488419532776,False,True,0.0027839015237987,0.9912831783294678,0.92132169008255,0.0306688547134399,contradict,entailed,fixed,force_extract_rerank,Improved
1,0,detector_conditioned_extract,554,how many episodes in game if thrones season 7,seven,seven,7,Seven,0.6811243420024403,0.9288443229068072,0.2477199809043667,False,True,0.9502915143966676,0.005916750524193,0.952195942401886,0.0085222031921148,entailed,entailed,fixed,strict_mix_K10_group=ANSWER_sc_rerank,Improved
1,1,detector_conditioned_extract,539,who starred in the movie on golden pond,Katharine Hepburn,Katharine Hepburn,Henry Fonda,Katharine Hepburn,0.0,0.790488419532776,0.790488419532776,False,True,0.0027839015237987,0.9912831783294678,0.92132169008255,0.0306688547134399,contradict,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,473,what is the tigers name in life of pi,Richard Parker,Richard Parker,Pi,Richard Parker,0.0,0.8410444959439337,0.8410444959439337,False,True,0.2287560403347015,0.5557481050491333,0.9362826943397522,0.0225191824138164,contradict,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,686,who is the speaker in shooting an elephant,Orwell,Orwell,Kipling,George Orwell,0.0,0.4686743604547034,0.4686743604547034,False,True,0.0891433283686637,0.8470199108123779,0.3701634109020233,0.0236343797296285,contradict,neutral,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,19,which material is the heaviest in term of density,Osmium,Osmium,Uranium,Density: Osmium,0.0,0.3765044424434503,0.3765044424434503,False,True,0.0785377770662307,0.8466784954071045,0.3205363154411316,0.0909340679645538,contradict,neutral,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,538,what is the time setting of game of thrones,medieval,medieval,700s,medieval period,0.1112546114251017,0.7992737082360933,0.6880190968109916,False,True,0.0830036550760269,0.0290950089693069,0.8762426376342773,0.00722043402493,neutral,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,504,the secret of crickley hall how many episodes,3,3,6,3 episodes,0.0,0.3318656568322331,0.3318656568322331,False,True,0.0247150398790836,0.8925758600234985,0.0601001344621181,0.0210044998675584,contradict,neutral,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,557,mainland greece is a body of land with water on three sides called,peninsula,peninsula,Peloponnese,Grecian Peninsula,0.0355762841179966,0.4217121212184429,0.3861358371004462,False,True,0.2511159777641296,0.3116335272789001,0.0070772268809378,0.0081368703395128,neutral,neutral,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,263,who plays the dad in malcom in the middle,Bryan Cranston,Bryan Cranston,Bruce Thomas,Bryan Cranston,0.0,0.7915461655147374,0.7915461655147374,False,True,0.0062960120849311,0.988364577293396,0.9223005175590516,0.0304962061345577,contradict,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,675,when did hootie and the blowfish come out,1986,1986,1987,1986,0.0,0.8960386278945952,0.8960386278945952,False,True,0.1187985613942146,0.6912181377410889,0.9608248472213744,0.0122445877641439,contradict,entailed,fixed,force_extract_rerank,Improved
1,1,detector_conditioned_extract,184,how many times has lake placid hosted the winter olympics,twice,twice,"once, in 1980",Olympics twice,0.0703179622767493,0.3290871773132433,0.2587692150364939,False,True,0.0025189865846186,0.1473918259143829,0.0029991436749696,0.0035073491744697,neutral,neutral,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,401,when did the new day win the tag team titles,2016,2016,2018,titles in 2016,0.0,0.4821694617842634,0.4821694617842634,False,True,0.0141750499606132,0.9527803659439088,0.4526678919792175,0.0072019537910819,contradict,neutral,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,116,who told the story of the prodigal son,Jesus Christ,Jesus Christ,Bible,Jesus,0.0419383371248841,0.7230613277976711,0.6811229906727869,False,True,0.2831064462661743,0.2832959294319153,0.9296917915344238,0.021697960793972,neutral,entailed,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,538,what is the time setting of game of thrones,medieval,medieval,700s,Mid-to-late medieval period,0.1112546114251017,0.4628095981106163,0.3515549866855145,False,True,0.0830036550760269,0.0290950089693069,0.2913594245910644,0.0023352364078164,neutral,neutral,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,186,who was the captain of the mayflower when it took the pilgrims to the new world,Christopher Jones,Christopher Jones,CAPTAIN_JOHN_SMITH,Christopher Jones,0.0,0.8173015826754273,0.8173015826754273,False,True,0.0239221025258302,0.9499941468238832,0.94148451089859,0.0171924866735935,contradict,entailed,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,213,what was the final episode of quantum leap,"""Mirror Image""","""Mirror Image""",Quantum Leap,Mirror Image,0.0,0.8190273804496974,0.8190273804496974,False,True,0.0150827839970588,0.9700600504875184,0.9536752104759216,0.0201847944408655,contradict,entailed,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,354,what kind of national legislature did the constitution created,bicameral Congress,bicameral Congress,Federal,Bicameral,0.3486955532804131,0.7137843463631968,0.3650887930827836,False,True,0.7428911328315735,0.0912510678172111,0.9271330237388612,0.0299686901271343,entailed,entailed,fixed,strict_mix_K10_group=ANSWER_sc_rerank,Improved
1,2,detector_conditioned_extract,504,the secret of crickley hall how many episodes,3,3,6,3 episodes,0.0,0.3318656568322331,0.3318656568322331,False,True,0.0247150398790836,0.8925758600234985,0.0601001344621181,0.0210044998675584,contradict,neutral,fixed,force_extract_rerank,Improved
1,2,detector_conditioned_extract,167,what year does the quiet man take place,the 1920s,the 1920s,1940,1920s,0.0,0.7526249989774078,0.7526249989774078,False,True,0.0219926573336124,0.955804407596588,0.961529552936554,0.0069452878087759,contradict,entailed,fixed,force_extract_rerank,Improved
