mode,run,q_idx,question,gold_label,evidence,answer,gold_ok,pred_ok,score,threshold,judge_ok,ent,con,selfcheck
full,0,417,U2 is a band.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided confirms that U2 is indeed a band, as it mentions their existence and popularity as a group.",True,False,0.1897586192521784,0.2,False,0.0,0.0,0.051206903739107974
full,0,417,U2 is a band.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The existence of U2 as a band is widely recognized and documented through various sources such as music publications, concert listings, and fan communities.",True,False,0.1897586192521784,0.2,False,0.0,0.0,0.051206903739107974
full,0,260,Eddie Redmayne appeared in a film.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Eddie Redmayne is an actor who has appeared in several films, including the Harry Potter series and The Theory of Everything. This suggests that he has indeed appeared in at least one film.",True,False,0.08823775132186712,0.2,False,0.0,0.0,0.5588112433906645
full,0,669,Hungary is not a country.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided shows that Hungary is a recognized sovereign state with its own government, currency, and international relations, indicating that it is a country.",True,False,0.19977385529944314,0.2,False,0.0,0.0,0.0011307235027844499
full,0,173,World War II did not have campaigns occurring in Asia.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that World War II occurred in Europe and North Africa, but does not mention any campaigns occurring in Asia, which suggests that there were no such campaigns.",True,False,0.10501187450200736,0.2,False,0.0,0.0,0.4749406274899633
full,0,154,Lily Collins has acted.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The provided evidence states that Lily Collins is an actress, which suggests that she has acted in various films and television shows.",True,False,0.11099757506874286,0.2,False,0.0,0.0,0.44501212465628565
full,0,431,Elementary has Jon Michael Hill in its cast.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence supports the claim that Jon Michael Hill is in the cast of Elementary.",True,False,0.11004887415975745,0.2,False,0.0,0.0,0.44975562920121276
full,0,687,Didier Drogba is a sheep.,REFUTED,,"LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not contain any information that could be used to support or refute the claim that Didier Drogba is a sheep.",False,True,0.5393906799500756,0.2,True,0.0,0.0,0.053046600249621816
full,0,658,Donald Glover did not create the song 3005.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided suggests that Donald Glover did create the song ""3005"" as it is listed as one of his songs on his official website and various music streaming platforms.",True,False,0.07434466014254008,0.2,False,0.0,0.0,0.6282766992872996
full,0,658,Donald Glover did not create the song 3005.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Donald Glover created the song ""3005."" There are several sources that suggest Glover was involved in the creation of the song, including a tweet from Glover himself confirming his involvement.",True,False,0.07434466014254008,0.2,False,0.0,0.0,0.6282766992872996
full,0,349,Hungary was founded during the conquest of Wendy's.,NOT ENOUGH INFO,,"LABEL: NOT ENOUGH INFO
REASON: The evidence provided does not suggest that Hungary was founded during the conquest of Wendy's. In fact, Hungary was established as a kingdom in 1000 AD, long before the founding of Wendy's in 1969.",True,False,0.15038971351459623,0.2,False,0.0,0.0,0.24805143242701888
full,0,518,Amelia Earhart was a Scientologist.,NOT ENOUGH INFO,,"LABEL: NOT ENOUGH INFO
REASON: There is no credible evidence to suggest that Amelia Earhart was a member of the Church of Scientology, which was founded in 1954, long after Earhart's disappearance in 1937.",True,False,0.18385088077371217,0.2,False,0.0,0.0,0.08074559613143921
full,0,518,Amelia Earhart was a Scientologist.,NOT ENOUGH INFO,,"LABEL: NOT ENOUGH INFO
REASON: There is no credible evidence to support this claim, and the available information suggests that Amelia Earhart was not affiliated with Scientology.",True,False,0.18385088077371217,0.2,False,0.0,0.0,0.08074559613143921
full,0,390,Shakira is a only a film producer.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Shakira is a film producer, which contradicts the claim that she is only a film producer.",True,False,0.15588181188537018,0.2,False,0.0,0.0,0.22059094057314924
full,0,649,Adele has an album.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided suggests that Adele does in fact have an album, as it mentions an album in the context of her professional work.",True,False,0.11085568328045259,0.2,False,0.0,0.0,0.4457215835977371
full,0,874,Elton John's musical career began in 1980.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Elton John's musical career began in 1980, but this is not accurate as Elton John was already active in the music industry before 1980, with his first album ""Empty Sky"" released in 1969.",True,False,0.16181554881623017,0.2,False,0.0,0.0,0.19092225591884926
full,0,874,Elton John's musical career began in 1980.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Elton John's musical career began in 1980, but this is not accurate as Elton John's career actually began in the late 1960s and early 1970s.",True,False,0.16181554881623017,0.2,False,0.0,0.0,0.19092225591884926
full,0,874,Elton John's musical career began in 1980.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Elton John's musical career began in 1980, but this is not accurate as Elton John's career began in the late 1960s and early 1970s.",True,False,0.16181554881623017,0.2,False,0.0,0.0,0.19092225591884926
