mode,run,q_idx,question,gold_label,evidence,answer,gold_ok,pred_ok,score,threshold,judge_ok,ent,con,selfcheck
full,0,109,Lauren Graham is an author.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Lauren Graham is an author, which suggests that she has written and published works as an author.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,109,Lauren Graham is an author.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Lauren Graham is an author, which suggests that she has written and published works as an author.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,149,Doctor Who is not produced by the BBC.,REFUTED,,"LABEL: REFUTED
REASON: The BBC is a well-known and established broadcaster that has been producing content for decades, including Doctor Who. The show's long history and consistent production by the BBC support the claim that it is indeed produced by the BBC.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,260,Eddie Redmayne appeared in a film.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Eddie Redmayne is an actor who has appeared in numerous films, including the Harry Potter series and The Theory of Everything. This suggests that he has indeed appeared in at least one film.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,154,Lily Collins has acted.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Lily Collins is an actress, which suggests that she has acted in various roles.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,154,Lily Collins has acted.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Lily Collins is an actress, which suggests that she has acted in various productions.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,36,Michelle Williams has been in an American film.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence suggests that Michelle Williams has indeed appeared in an American film.",True,False,0.11063874657007143,0.2,False,0.0,0.0,0.4468062671496429
full,0,518,Amelia Earhart was a Scientologist.,NOT ENOUGH INFO,,"LABEL: NOT ENOUGH INFO
REASON: There is no credible evidence to suggest that Amelia Earhart was a member of the Church of Scientology, as it was founded in 1954, long after Earhart's disappearance in 1937.",True,False,0.1598008159755005,0.2,False,0.0,0.0,0.2009959201224976
full,0,518,Amelia Earhart was a Scientologist.,NOT ENOUGH INFO,,"LABEL: NOT ENOUGH INFO
REASON: There is no credible evidence to support the claim that Amelia Earhart was a Scientologist. While some sources have mentioned her interest in spirituality and self-improvement, there is no direct evidence to link her to the Church of Scientology or its beliefs.",True,False,0.1598008159755005,0.2,False,0.0,0.0,0.2009959201224976
full,0,390,Shakira is a only a film producer.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Shakira has won multiple Grammy Awards, which suggests that she is also a successful musician and not just a film producer.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,649,Adele has an album.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided confirms that Adele has indeed released an album.",True,False,0.19968090534675867,0.2,False,0.0,0.0,0.0015954732662066817
full,0,649,Adele has an album.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Adele has an album, which suggests that she has indeed released a musical project.",True,False,0.19968090534675867,0.2,False,0.0,0.0,0.0015954732662066817
full,0,649,Adele has an album.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided states that Adele has an album, which suggests that she does in fact have an album.",True,False,0.19968090534675867,0.2,False,0.0,0.0,0.0015954732662066817
full,0,874,Elton John's musical career began in 1980.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Elton John's musical career began in 1980, but this is not accurate as he released his first album ""Empty Sky"" in 1969.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,874,Elton John's musical career began in 1980.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Elton John's musical career began in 1980, but this is not accurate as he released his first album ""Empty Sky"" in 1969.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,936,Barbara Bush has yet to be married.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Barbara Bush has yet to be married, which is false as she was married to George H.W. Bush and they were married for over 70 years until his death in 2018.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,153,Novak Djokovic is an athlete.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided suggests that Novak Djokovic is indeed an athlete, as he has achieved significant success in the world of professional tennis and has won numerous awards and accolades for his performances on the court.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,153,Novak Djokovic is an athlete.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided suggests that Novak Djokovic is indeed an athlete, as he has achieved great success in his career as a professional tennis player.",True,False,0.11087241395273142,0.2,False,0.0,0.0,0.44563793023634285
full,0,631,Franklin D. Roosevelt was born.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The birthdate of Franklin D. Roosevelt (January 30, 1882) is supported by historical records and documents.",True,False,0.11063874657007143,0.2,False,0.0,0.0,0.4468062671496429
full,0,780,The iPhone 5C is a smartphone.,SUPPORTED,,"LABEL: SUPPORTED
REASON: These features are common to most modern smartphones and are necessary for a device to be considered one)",True,False,0.11063874657007143,0.2,False,0.0,0.0,0.4468062671496429
full,0,960,Billy Wilder only worked for three years.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Billy Wilder worked for three years, which contradicts the claim that he only worked for three years.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,960,Billy Wilder only worked for three years.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Billy Wilder only worked for three years, but this is not accurate as he was active in the film industry for several decades and directed numerous films throughout his career.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,960,Billy Wilder only worked for three years.,REFUTED,,"LABEL: REFUTED
REASON: The evidence provided states that Billy Wilder worked for three years, which contradicts the claim that he only worked for three years.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,278,Emmy Rossum starred in movies.,SUPPORTED,,"LABEL: SUPPORTED
REASON: The evidence provided suggests that Emmy Rossum has acted in various movies, such as ""The Day After Tomorrow"" and ""Phantom of the Opera.""",True,False,0.11063874657007143,0.2,False,0.0,0.0,0.4468062671496429
full,0,842,Ty Cobb did not spend 22 seasons with the Detroit Tigers.,REFUTED,,"LABEL: REFUTED
REASON: The available historical records and accounts suggest that Ty Cobb played for the Detroit Tigers for only 13 seasons, from 1905 to 1928, and not 22 seasons as claimed.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,842,Ty Cobb did not spend 22 seasons with the Detroit Tigers.,REFUTED,,"LABEL: REFUTED
REASON: The available historical records and accounts indicate that Ty Cobb played for the Detroit Tigers from 1905 to 1928, which is a total of 23 seasons, not 22.",True,False,0.19897990319877865,0.2,False,0.0,0.0,0.0051004840061068535
full,0,603,Nicole Kidman is an actress.,SUPPORTED,,"LABEL: SUPPORTED
REASON: Based on the provided evidence, it is clear that Nicole Kidman is indeed an actress, as evidenced by her numerous film and television roles.",True,False,0.19968090534675867,0.2,False,0.0,0.0,0.0015954732662066817
full,0,603,Nicole Kidman is an actress.,SUPPORTED,,"LABEL: SUPPORTED
REASON: Based on the provided evidence, it is clear that Nicole Kidman is indeed an actress.",True,False,0.19968090534675867,0.2,False,0.0,0.0,0.0015954732662066817
