run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,always_mild,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim is refuted by the fact that Shakira is a successful singer and songwriter, as well as a philanthropist and entrepreneur, which suggests that she has a diverse range of skills and talents beyond mechanics.","LABEL: NOT ENOUGH INFO
REASON: Shakira is a professional singer and songwriter, but there is no evidence to suggest that she is also a mechanic.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The BBC has been the primary broadcaster of Doctor Who since its inception in 1963, and the show's production company, BBC Studios, continues to produce the series today.","LABEL: NOT ENOUGH INFO
REASON: The claim that Doctor Who is not produced by the BBC requires more information to be evaluated.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a particular school of Hindu philosophy, and does not encompass a broader category of legumes.","LABEL: NOT ENOUGH INFO
REASON: The term ""Vedanta"" is not defined or explained in the provided evidence, making it unclear what specific legumes are being referred to.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show ""The World According to Paris"" featured a diverse cast of actors and actresses, including women. Therefore, the claim that the show had an all-male cast is refuted by the available evidence.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide enough information to determine whether the claim is supported or refuted.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect in San Francisco's Chinatown, the neighborhood stretches beyond these two streets and includes other areas such as Grant Avenue, Stockton Street, and Washington Square Park. Therefore, the claim is refuted.","LABEL: NOT ENOUGH INFO
REASON: The provided information does not provide enough details or context to determine the center of San Francisco's Chinatown.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,953,Ellen DeGeneres is a Gemini.,,REFUTED,"LABEL: REFUTED
REASON: The birthdate of Ellen DeGeneres is May 26, 1958, which makes her a Cancer according to the zodiac signs.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to determine Ellen DeGeneres' zodiac sign based on the provided information.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,669,Hungary is not a country.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Hungary is not a country. Hungary is a recognized sovereign state with its own government, currency, and international diplomatic representation, among other characteristics of a country. Therefore, the claim is refuted.","LABEL: NOT ENOUGH INFO
REASON: Hungary is a recognized sovereign state by the international community, with its own government, currency, and international relations. Therefore, there is sufficient information to determine that Hungary is indeed a country.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,173,World War II did not have campaigns occurring in Asia.,,REFUTED,"LABEL: REFUTED
REASON: The invasion of Pearl Harbor by Japan in 1941 and the subsequent involvement of other Asian countries in the war, such as China, India, and the Philippines, demonstrate that World War II did have campaigns occurring in Asia.","LABEL: NOT ENOUGH INFO
REASON: The claim that World War II did not have campaigns occurring in Asia requires more information to be supported or refuted.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,486,Gwen Stefani always declines to perform.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Gwen Stefani always declines to perform. In fact, there are numerous instances of Gwen Stefani performing live and in music videos.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to support or refute the claim that Gwen Stefani always declines to perform.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,264,License to Drive stars only men.,,REFUTED,"LABEL: REFUTED
REASON: The movie ""License to Drive"" features a cast that includes both male and female actors, including actresses such as Heather DeLoach and Wendy Makkena. Therefore, the claim that the movie stars only men is refuted by the available evidence.","LABEL: NOT ENOUGH INFO
REASON: The claim that License to Drive stars only men is not supported by the provided evidence, as there is no information in the provided statement about the gender of the actors in the movie.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,806,The Olympic Games occur every two years.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided states that the Olympic Games occur ""every four years"", which contradicts the claim that they occur every two years.","LABEL: NOT ENOUGH INFO
REASON: The Olympic Games actually occur every four years, not every two years.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,898,Heikegani is nicknamed Samurai Warrior.,,REFUTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Heikegani is nicknamed Samurai Warrior. There is no mention of such a nickname in the provided text.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide enough information to support or refute the claim that Heikegani is nicknamed Samurai Warrior.",0.55,0.55,0.0,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,57,The Twelfth Doctor is the writer of Doctor Who.,,REFUTED,"LABEL: REFUTED
REASON: There is no direct evidence to suggest that the Twelfth Doctor (played by Peter Capaldi) wrote Doctor Who. While he may have contributed to the show's creative process as an actor and cast member, there is no proof that he was directly involved in writing the show.","LABEL: NOT ENOUGH INFO
REASON: The claim that the Twelfth Doctor is the writer of Doctor Who requires more information to be supported or refuted.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,938,Taraji P. Henson has never acted.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided states that Taraji P. Henson is an actress and has starred in several films and TV shows, including ""Empire"" and ""Hidden Figures,"" which contradicts the claim that she has never acted.","LABEL: NOT ENOUGH INFO
REASON: There is insufficient evidence to determine whether Taraji P. Henson has acted or not.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,809,Tropic Thunder's soundtrack debuted on May 5.,,REFUTED,"LABEL: REFUTED
REASON: The soundtrack for Tropic Thunder was released on August 12, 2008, not May 5.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide enough information to determine whether Tropic Thunder's soundtrack debuted on May 5 or not.",0.55,0.55,0.0,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
0,always_mild,332,The gray wolf was always unable to colonize North America.,,REFUTED,"LABEL: REFUTED
REASON: The fossil record shows that gray wolves (Canis lupus) were present in North America during the Pleistocene epoch, with evidence of their range extending from Canada to Central America.","LABEL: NOT ENOUGH INFO
REASON: The claim that the gray wolf was unable to colonize North America is not supported by the provided evidence, as it does not provide enough information on the gray wolf's ability to colonize the continent.",0.55,0.2,-0.35,REFUTED,NOT ENOUGH INFO,True,False,0.0,0.0,0.0,0.0,neutral,neutral,regressed,True,always_mild
