run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,base,882,Hugh Grant is a firefighter.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no information or credible sources that suggest Hugh Grant has ever worked as a firefighter.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Hugh Grant is a firefighter. There is no information or credible sources that suggest Hugh Grant has ever worked as a firefighter.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,637,Rosamund Pike worked with David Yates.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates. There is no information in the provided text to suggest they have collaborated on any project.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that Rosamund Pike worked with David Yates. There is no information in the provided text to suggest they have collaborated on any project.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,109,Lauren Graham is an author.,,SUPPORTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author, as there is no information in the provided text about her writing or publishing any books.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Lauren Graham is an author, as there is no information in the provided text about her writing or publishing any books.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
0,base,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim is refuted by the fact that Shakira is a successful singer and songwriter, as well as a philanthropist and entrepreneur, which suggests that she has a diverse range of skills and talents beyond mechanics.","LABEL: REFUTED
REASON: The claim is refuted by the fact that Shakira is a successful singer and songwriter, as well as a philanthropist and entrepreneur, which suggests that she has a diverse range of skills and talents beyond mechanics.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,417,U2 is a band.,,SUPPORTED,"LABEL: SUPPORTED
REASON: The claim is supported by the fact that U2 has released numerous albums and singles, has performed in concerts and tours, and has been recognized with various awards and nominations for their music.","LABEL: SUPPORTED
REASON: The claim is supported by the fact that U2 has released numerous albums and singles, has performed in concerts and tours, and has been recognized with various awards and nominations for their music.",0.55,0.55,0.0,SUPPORTED,SUPPORTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The BBC has been the primary broadcaster of Doctor Who since its inception in 1963, and the show's production company, BBC Studios, continues to produce the series today.","LABEL: REFUTED
REASON: The BBC has been the primary broadcaster of Doctor Who since its inception in 1963, and the show's production company, BBC Studios, continues to produce the series today.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a particular school of Hindu philosophy, and does not encompass a broader category of legumes.","LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a particular school of Hindu philosophy, and does not encompass a broader category of legumes.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show ""The World According to Paris"" featured a diverse cast of actors and actresses, including women. Therefore, the claim that the show had an all-male cast is refuted by the available evidence.","LABEL: REFUTED
REASON: The show ""The World According to Paris"" featured a diverse cast of actors and actresses, including women. Therefore, the claim that the show had an all-male cast is refuted by the available evidence.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect in San Francisco's Chinatown, the neighborhood stretches beyond these two streets and includes other areas such as Grant Avenue, Stockton Street, and Washington Square Park. Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While Kearny Street and Mission Street do intersect in San Francisco's Chinatown, the neighborhood stretches beyond these two streets and includes other areas such as Grant Avenue, Stockton Street, and Washington Square Park. Therefore, the claim is refuted.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,base_keep
0,base,881,Amazon.com sells 8-Tracks.,,NOT ENOUGH INFO,"LABEL: REFUTED
REASON: The evidence provided does not show that Amazon.com sells 8-tracks. In fact, Amazon's product catalog does not list any 8-track tapes for sale.","LABEL: REFUTED
REASON: The evidence provided does not show that Amazon.com sells 8-tracks. In fact, Amazon's product catalog does not list any 8-track tapes for sale.",0.2,0.2,0.0,REFUTED,REFUTED,False,False,0.0,0.0,0.0,0.0,neutral,neutral,still_wrong,False,base_keep
