run,policy,q_idx,question,evidence,gold_label,base_answer,final_answer,base_ok_score,final_ok_score,delta_ok_score,base_pred_label,final_pred_label,base_gold_ok,final_gold_ok,base_ent,base_con,final_ent,final_con,base_vs_evidence,final_vs_evidence,improvement_type,final_NEI,action
0,policy,96,Shakira is only a mechanic.,,REFUTED,"LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the fact that she is a successful singer-songwriter and musician, with numerous hit songs and albums to her credit.","LABEL: REFUTED
REASON: The claim that Shakira is only a mechanic is refuted by the fact that she is a successful singer-songwriter and musician, with numerous hit songs and albums to her credit.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,149,Doctor Who is not produced by the BBC.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided states that Doctor Who is produced by the BBC, which is a contradiction to the claim.","LABEL: REFUTED
REASON: The evidence provided states that Doctor Who is produced by the BBC, which is a contradiction to the claim.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,684,Vedanta is an umbrella term for many related legumes.,,REFUTED,"LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a philosophical and spiritual tradition originating from India, as evidenced by its definition and usage in various sources, including books, academic papers, and websites. There is no evidence to suggest that it is an umbrella term for legumes or any other group of plants.","LABEL: REFUTED
REASON: The term ""Vedanta"" specifically refers to a philosophical and spiritual tradition originating from India, as evidenced by its definition and usage in various sources, including books, academic papers, and websites. There is no evidence to suggest that it is an umbrella term for legumes or any other group of plants.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,340,The World According to Paris had an all-male cast.,,REFUTED,"LABEL: REFUTED
REASON: The show featured actresses and musicians, including Paris Hilton herself, which contradicts the claim of an all-male cast.","LABEL: REFUTED
REASON: The show featured actresses and musicians, including Paris Hilton herself, which contradicts the claim of an all-male cast.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,346,San Francisco's Chinatown is centered on Kearny Street and Mission Street.,,REFUTED,"LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While both streets are located within the Chinatown neighborhood, there is no explicit indication in the provided information that they serve as the central hub or focal point of the area. In fact, the information mentions several other streets and locations within Chinatown, which suggests a more complex and multifaceted layout for the neighborhood. Therefore, the claim is refuted based on the insufficient evidence provided.","LABEL: REFUTED
REASON: The evidence provided does not support the claim that San Francisco's Chinatown is centered on Kearny Street and Mission Street. While both streets are located within the Chinatown neighborhood, there is no explicit indication in the provided information that they serve as the central hub or focal point of the area. In fact, the information mentions several other streets and locations within Chinatown, which suggests a more complex and multifaceted layout for the neighborhood. Therefore, the claim is refuted based on the insufficient evidence provided.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,970,Tim Rice wrote code.,,NOT ENOUGH INFO,"LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide sufficient information to confirm or deny the claim that Tim Rice wrote code. Further details or context are needed to make a conclusive judgment.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide sufficient information to confirm or deny the claim that Tim Rice wrote code. Further details or context are needed to make a conclusive judgment.",0.55,0.55,0.0,NOT ENOUGH INFO,NOT ENOUGH INFO,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,True,keep
0,policy,953,Ellen DeGeneres is a Gemini.,,REFUTED,"LABEL: REFUTED
REASON: The provided evidence does not support the claim that Ellen DeGeneres is a Gemini. There is no direct or indirect evidence in the provided text to suggest that Ellen DeGeneres was born under this zodiac sign. Therefore, the claim is refuted.","LABEL: REFUTED
REASON: The provided evidence does not support the claim that Ellen DeGeneres is a Gemini. There is no direct or indirect evidence in the provided text to suggest that Ellen DeGeneres was born under this zodiac sign. Therefore, the claim is refuted.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,440,Maria Sharapova sold meldonium.,,NOT ENOUGH INFO,"LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide sufficient information to support or refute the claim that Maria Sharapova sold meldonium.","LABEL: NOT ENOUGH INFO
REASON: The provided evidence does not provide sufficient information to support or refute the claim that Maria Sharapova sold meldonium.",0.55,0.55,0.0,NOT ENOUGH INFO,NOT ENOUGH INFO,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,True,keep
0,policy,752,X-Men (film) was directed by an American director name Bryan Singer.,,SUPPORTED,"LABEL: SUPPORTED
REASON: The film ""X-Men"" was directed by Bryan Singer, as stated in the provided evidence.","LABEL: SUPPORTED
REASON: The film ""X-Men"" was directed by Bryan Singer, as stated in the provided evidence.",0.55,0.55,0.0,SUPPORTED,SUPPORTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
0,policy,669,Hungary is not a country.,,REFUTED,"LABEL: REFUTED
REASON: Hungary is a recognized sovereign state with its own government, currency, and international relations, therefore it can be considered as a country.","LABEL: REFUTED
REASON: Hungary is a recognized sovereign state with its own government, currency, and international relations, therefore it can be considered as a country.",0.55,0.55,0.0,REFUTED,REFUTED,True,True,0.0,0.0,0.0,0.0,neutral,neutral,already_correct,False,keep
